DISCRETE_GEN_TPS_1,DISCRETE_GEN_TPS_2,CommitGenUnits
Oahu_AES,2007011200,1.0
Oahu_AES,2007011202,1.0
Oahu_AES,2007011204,1.0
Oahu_AES,2007011206,1.0
Oahu_AES,2007011208,1.0
Oahu_AES,2007011210,1.0
Oahu_AES,2007011212,1.0
Oahu_AES,2007011214,1.0
Oahu_AES,2007011216,1.0
Oahu_AES,2007011218,1.0
Oahu_AES,2007011220,1.0
Oahu_AES,2007011222,1.0
Oahu_AES,2007011900,1.0
Oahu_AES,2007011902,1.0
Oahu_AES,2007011904,1.0
Oahu_AES,2007011906,1.0
Oahu_AES,2007011908,1.0
Oahu_AES,2007011910,1.0
Oahu_AES,2007011912,1.0
Oahu_AES,2007011914,1.0
Oahu_AES,2007011916,1.0
Oahu_AES,2007011918,1.0
Oahu_AES,2007011920,1.0
Oahu_AES,2007011922,1.0
Oahu_AES,2007021200,1.0
Oahu_AES,2007021202,1.0
Oahu_AES,2007021204,1.0
Oahu_AES,2007021206,1.0
Oahu_AES,2007021208,1.0
Oahu_AES,2007021210,1.0
Oahu_AES,2007021212,1.0
Oahu_AES,2007021214,1.0
Oahu_AES,2007021216,1.0
Oahu_AES,2007021218,1.0
Oahu_AES,2007021220,1.0
Oahu_AES,2007021222,1.0
Oahu_AES,2007050200,1.0
Oahu_AES,2007050202,1.0
Oahu_AES,2007050204,1.0
Oahu_AES,2007050206,1.0
Oahu_AES,2007050208,1.0
Oahu_AES,2007050210,1.0
Oahu_AES,2007050212,1.0
Oahu_AES,2007050214,1.0
Oahu_AES,2007050216,1.0
Oahu_AES,2007050218,1.0
Oahu_AES,2007050220,1.0
Oahu_AES,2007050222,1.0
Oahu_AES,2007092200,1.0
Oahu_AES,2007092202,1.0
Oahu_AES,2007092204,1.0
Oahu_AES,2007092206,1.0
Oahu_AES,2007092208,1.0
Oahu_AES,2007092210,1.0
Oahu_AES,2007092212,1.0
Oahu_AES,2007092214,1.0
Oahu_AES,2007092216,1.0
Oahu_AES,2007092218,1.0
Oahu_AES,2007092220,1.0
Oahu_AES,2007092222,1.0
Oahu_AES,2007102700,1.0
Oahu_AES,2007102702,1.0
Oahu_AES,2007102704,1.0
Oahu_AES,2007102706,1.0
Oahu_AES,2007102708,1.0
Oahu_AES,2007102710,1.0
Oahu_AES,2007102712,1.0
Oahu_AES,2007102714,1.0
Oahu_AES,2007102716,1.0
